iter	RMSE
0	0.6917582822
1	0.6773290655
2	0.6635596485
3	0.6511251546
4	0.6380926978
5	0.625686598
6	0.6129293278
7	0.5997691116
8	0.5885212848
9	0.5773615517
10	0.5660909757
11	0.5551013612
12	0.5449503747
13	0.5362010946
14	0.5262123522
15	0.5170605283
16	0.5073885686
17	0.5000662723
18	0.4913981288
19	0.4839078186
20	0.4765965204
21	0.4685370093
22	0.4612886497
23	0.4540012393
24	0.4470313902
25	0.4415426724
26	0.4334442945
27	0.4269523266
28	0.4214213671
29	0.415747166
30	0.4104029104
31	0.4048664367
32	0.3990530702
33	0.3937191406
34	0.3875044639
35	0.3825347867
36	0.3767812071
37	0.3715502332
38	0.3675783321
39	0.3626349237
40	0.3570207381
41	0.3524849039
42	0.348525378
43	0.3447637541
44	0.3419616819
45	0.3369161428
46	0.3318597405
47	0.3278879602
48	0.3231716116
49	0.3190040513
50	0.3162233507
51	0.3121663318
52	0.3095854894
53	0.3069445384
54	0.3037003943
55	0.2999735954
56	0.2964860313
57	0.2935136293
58	0.2910489345
59	0.2880707576
60	0.2856094482
61	0.2823527536
62	0.2792417329
63	0.2761435996
64	0.2735584539
65	0.2709207288
66	0.2683166202
67	0.266115618
68	0.2637714945
69	0.2616207997
70	0.2595591948
71	0.257401445
72	0.2546565281
73	0.2521286741
74	0.2503312072
75	0.2490377778
76	0.2465476092
77	0.2445220364
78	0.2426543342
79	0.2407001696
80	0.2393594421
81	0.2378560996
82	0.2372525493
83	0.2356300753
84	0.2338145365
85	0.2322647676
86	0.230674071
87	0.229591048
88	0.228263147
89	0.2269002621
90	0.22499237
91	0.2234579116
92	0.221771201
93	0.2201764537
94	0.2189011729
95	0.2175876853
96	0.2163871
97	0.2149443395
98	0.2138486528
99	0.2126866877
100	0.2116903349
101	0.2103339513
102	0.208755729
103	0.2080726969
104	0.2068676078
105	0.2059958673
106	0.2051910139
107	0.2040786664
108	0.2038366191
109	0.2029867695
110	0.2019964726
111	0.2013269264
112	0.2003537627
113	0.1994483922
114	0.1985305624
115	0.1978173765
116	0.1971580981
117	0.1964021396
118	0.195560499
119	0.1947136315
120	0.1938969953
121	0.192952023
122	0.1923762919
123	0.191871451
124	0.1909697894
125	0.1903480777
126	0.1894979327
127	0.1888226175
128	0.1883551578
129	0.1875806878
130	0.1869872156
131	0.1863963924
132	0.185887522
133	0.1851778972
134	0.1842779738
135	0.1837441712
136	0.1830386691
137	0.1825902905
138	0.1821342319
139	0.1815534688
140	0.1809622843
141	0.1803736704
142	0.179832801
143	0.1792577329
144	0.1787433961
145	0.1783834557
146	0.1777559948
147	0.177328177
148	0.176750105
149	0.1762024504
150	0.1757546696
151	0.1754015148
152	0.17497889
153	0.1742338642
154	0.1738135912
155	0.1733810749
156	0.1729070153
157	0.1723477629
158	0.1722180725
159	0.1718738115
160	0.1714051117
161	0.170926749
162	0.1704640889
163	0.1699156294
164	0.1695677299
165	0.1694050089
166	0.1690212361
167	0.168241918
168	0.1677614562
169	0.1673971404
170	0.1671438004
171	0.1666890577
172	0.1662211707
173	0.1658648619
174	0.1655871882
175	0.1651554398
176	0.1644656295
177	0.1641219466
178	0.1638564801
179	0.1635997167
180	0.1632677137
181	0.1631320213
182	0.1626435165
183	0.1625791733
184	0.1623344324
185	0.1619190662
186	0.1616128829
187	0.1613805558
188	0.1611373873
189	0.1609329598
190	0.1605672104
191	0.1603326117
192	0.1600318521
193	0.159743906
194	0.1596133322
195	0.1594849416
196	0.1592925816
197	0.1591136273
198	0.1589081686
199	0.1580508661
200	0.1578838941
201	0.1577851737
202	0.1576953895
203	0.1574673917
204	0.1573055826
205	0.1569539652
206	0.1566882225
207	0.1563521199
208	0.1560287885
209	0.1555757468
210	0.1554477092
211	0.1551247182
212	0.1549313836
213	0.1547934737
214	0.1544544555
215	0.15403298
216	0.1538450356
217	0.153763788
218	0.153348865
219	0.1532025829
220	0.1530871108
221	0.1528087633
222	0.1527291293
223	0.1526516204
224	0.1524992954
225	0.1521147425
226	0.1517480325
227	0.1515640823
228	0.151257166
229	0.1511818234
230	0.1510455622
231	0.1509750795
232	0.1507118189
233	0.1504511106
234	0.1500989122
235	0.1498891208
236	0.1495825594
237	0.1492471153
238	0.1491772122
239	0.1487192512
240	0.1486412039
241	0.1483406097
242	0.148298087
243	0.1480291025
244	0.1479709999
245	0.147687194
246	0.1471175338
247	0.1468038715
248	0.1465832532
249	0.1464077881
