iter	Passed	Remaining
0	186	223235
1	295	177214
2	320	127958
3	347	103934
4	366	87710
5	391	77847
6	413	70460
7	436	65073
8	475	62981
9	499	59408
10	522	56497
11	546	54086
12	569	52038
13	593	50290
14	617	48817
15	641	47491
16	665	46296
17	689	45248
18	724	45025
19	751	44350
20	777	43667
21	802	42992
22	827	42363
23	853	41823
24	876	41213
25	904	40861
26	932	40499
27	986	41289
28	1011	40841
29	1028	40128
30	1049	39571
31	1075	39263
32	1103	39015
33	1124	38570
34	1153	38406
35	1179	38150
36	1220	38356
37	1246	38125
38	1273	37922
39	1301	37745
40	1326	37510
41	1354	37338
42	1381	37165
43	1407	36977
44	1428	36674
45	1466	36793
46	1492	36609
47	1520	36483
48	1549	36404
49	1574	36216
50	1592	35873
51	1616	35678
52	1639	35488
53	1663	35300
54	1687	35132
55	1724	35227
56	1748	35063
57	1771	34887
58	1794	34710
59	1818	34545
60	1842	34399
61	1866	34264
62	1891	34130
63	1914	33983
64	1939	33871
65	1973	33906
66	1998	33788
67	2017	33582
68	2040	33450
69	2063	33314
70	2087	33194
71	2111	33078
72	2134	32957
73	2158	32846
74	2182	32740
75	2225	32917
76	2248	32794
77	2271	32673
78	2293	32551
79	2317	32442
80	2341	32348
81	2364	32237
82	2372	31926
83	2395	31819
84	2417	31717
85	2448	31720
86	2471	31617
87	2494	31517
88	2517	31423
89	2540	31334
90	2567	31295
91	2591	31212
92	2615	31129
93	2638	31049
94	2663	30974
95	2695	30996
96	2718	30917
97	2743	30849
98	2766	30764
99	2789	30681
100	2812	30607
101	2836	30529
102	2860	30464
103	2884	30396
104	2907	30323
105	2930	30243
106	2958	30223
107	2981	30147
108	2996	29991
109	3018	29911
110	3041	29836
111	3063	29758
112	3086	29690
113	3109	29624
114	3134	29573
115	3157	29508
116	3181	29450
117	3206	29397
118	3228	29325
119	3250	29255
120	3273	29187
121	3296	29124
122	3319	29061
123	3341	28995
124	3364	28932
125	3387	28870
126	3409	28809
127	3440	28815
128	3462	28750
129	3485	28687
130	3507	28624
131	3530	28563
132	3557	28539
133	3580	28482
134	3603	28427
135	3626	28373
136	3649	28316
137	3689	28389
138	3710	28326
139	3733	28270
140	3756	28213
141	3779	28156
142	3801	28100
143	3825	28051
144	3848	27998
145	3876	27983
146	3905	27975
147	3941	28019
148	3967	27987
149	3990	27934
150	4013	27882
151	4036	27831
152	4059	27781
153	4082	27729
154	4105	27682
155	4129	27635
156	4152	27587
157	4183	27591
158	4199	27492
159	4222	27444
160	4245	27395
161	4267	27345
162	4290	27298
163	4313	27247
164	4336	27203
165	4361	27166
166	4385	27126
167	4408	27081
168	4446	27123
169	4469	27077
170	4492	27033
171	4515	26985
172	4538	26940
173	4561	26894
174	4583	26849
175	4606	26799
176	4628	26753
177	4651	26707
178	4678	26685
179	4700	26638
180	4723	26591
181	4742	26527
182	4766	26489
183	4781	26400
184	4803	26352
185	4825	26308
186	4849	26270
187	4873	26235
188	4896	26192
189	4924	26176
190	4946	26132
191	4968	26085
192	4990	26041
193	5013	25998
194	5036	25955
195	5058	25910
196	5080	25864
197	5102	25820
198	5124	25776
199	5147	25735
200	5175	25723
201	5204	25711
202	5232	25696
203	5260	25684
204	5284	25648
205	5308	25615
206	5332	25580
207	5355	25542
208	5378	25504
209	5409	25500
210	5432	25462
211	5454	25419
212	5476	25378
213	5499	25338
214	5522	25299
215	5544	25258
216	5563	25202
217	5587	25170
218	5610	25131
219	5632	25091
220	5665	25097
221	5687	25057
222	5710	25019
223	5736	24995
224	5759	24959
225	5784	24930
226	5808	24897
227	5833	24869
228	5858	24842
229	5883	24812
230	5919	24830
