district,location,size_decimals,distance_km,electricity,water,price_ugx
Wakiso,Gayaza - Kiwenda,12,0.8,Yes,Yes,168000000
Wakiso,Gayaza - Manyangwa,15,1.2,Yes,No,98000000
Wakiso,Kasangati - Nangabo,20,0.5,Yes,Yes,435000000
Wakiso,Kasangati - Matugga,50,3.5,Yes,Yes,875000000
Wakiso,Kitende - along Entebbe Road,25,4.2,Yes,Yes,540000000
Wakiso,Kitende - Kitovu,18,3.8,Yes,Yes,395000000
Wakiso,Kira - Kimwanyi,30,1.5,Yes,Yes,810000000
Wakiso,Kira - Estates,12,0.9,Yes,Yes,228000000
Wakiso,Namugongo - Sonde,22,2.1,Yes,Yes,270000000
Wakiso,Namugongo - Buto,25,1.8,Yes,Yes,305000000
Wakiso,Bwerenga - off Gayaza road,1000,4.5,No,Yes,3300000000
Wakiso,Garuga - Lake Victoria view,50,6.8,Yes,Yes,1920000000
Wakiso,Lubowa - off Entebbe Road,24,5.5,Yes,Yes,700000000
Wakiso,Kajjansi - along Entebbe Road,15,7.2,Yes,Yes,335000000
Wakiso,Kakiri - along Mityana Road,30,2.5,Yes,No,185000000
Mukono,Seeta - Nabuuti,12,0.6,Yes,Yes,102000000
Mukono,Seeta - Bajjo,25,1.1,Yes,Yes,335000000
Mukono,Kabembe - off Kayunga Road,15,1.4,Yes,Yes,152000000
Mukono,Kiyunga - along Jinja Road,20,3.2,Yes,Yes,295000000
Mukono,Nakifuma - along Jinja Road,40,4.8,Yes,Yes,540000000
Mukono,Goma - along Kampala-Jinja,100,2.5,Yes,Yes,1850000000
Kampala,Buziga - hilltop,35,1.2,Yes,Yes,980000000
Kampala,Mutungo - Kigo Road,25,4.5,Yes,Yes,440000000
Kampala,Nakasero - valley,50,0.8,Yes,Yes,3950000000
Kampala,Kololo - upper,40,0.6,Yes,Yes,5400000000
Kampala,Kamwokya - lower,30,1.0,Yes,Yes,1520000000
Kampala,Bunga - Gaba Road,28,2.8,Yes,Yes,810000000
Mpigi,Kammengo - along Masaka Road,50,6.5,Yes,Yes,395000000
Mpigi,Mpigi Town - outskirts,100,3.2,Yes,Yes,980000000
Luweero,Wobulenzi - along Gayaza-Zirobwe,40,2.1,Yes,Yes,500000000
Luweero,Bamunanika,80,5.5,Yes,No,700000000
Wakiso,Matugga - Bubaale,45,4.0,Yes,Yes,540000000
Wakiso,Nansana - along Hoima Road,18,1.9,Yes,Yes,395000000
